/// OMRK - RAS AL KHAIMAH NETS
MAP:Ras Al Khaimah SMGCS - NETS - Taxiway Closures
FOLDER:Ras Al Khaimah SMGCS
ACTIVE:1
COLOR:SMGCS_CLOSED
COORDTYPE:TWYCLOSED:REGION:X
N025.35.56.895 E055.56.34.338
N025.35.55.831 E055.56.34.658
N025.35.55.885 E055.56.34.599
N025.35.55.935 E055.56.34.516
N025.35.55.957 E055.56.34.389
N025.35.55.935 E055.56.34.253
N025.35.55.878 E055.56.34.124
N025.35.55.784 E055.56.34.026
N025.35.50.998 E055.56.30.873
N025.35.50.893 E055.56.30.803
N025.35.50.715 E055.56.30.718
N025.35.50.462 E055.56.30.665
N025.35.50.100 E055.56.30.674
N025.35.51.787 E055.56.30.211
N025.35.51.629 E055.56.30.335
N025.35.51.552 E055.56.30.426
N025.35.51.523 E055.56.30.502
N025.35.51.533 E055.56.30.654
N025.35.51.564 E055.56.30.771
N025.35.51.631 E055.56.30.884
N025.35.51.753 E055.56.30.995
N025.35.56.479 E055.56.34.139
N025.35.56.542 E055.56.34.145
N025.35.56.633 E055.56.34.142

COORDTYPE:TWYCLOSED:REGION:X
N025.35.48.177 E055.56.28.416
N025.35.47.932 E055.56.28.953
N025.35.47.909 E055.56.28.819
N025.35.47.832 E055.56.28.755
N025.35.45.571 E055.56.27.229
N025.35.45.360 E055.56.27.171
N025.35.45.051 E055.56.27.156
N025.35.44.851 E055.56.27.235
N025.35.44.673 E055.56.27.365
N025.35.44.152 E055.56.27.684
N025.35.44.042 E055.56.27.804
N025.35.44.041 E055.56.27.945
N025.35.43.745 E055.56.27.525
N025.35.43.856 E055.56.27.506
N025.35.44.331 E055.56.27.205
N025.35.44.413 E055.56.27.045
N025.35.44.432 E055.56.26.727
N025.35.44.375 E055.56.26.655
N025.35.45.136 E055.56.25.900
N025.35.45.165 E055.56.25.940
N025.35.45.586 E055.56.25.950
N025.35.45.843 E055.56.26.175
N025.35.45.809 E055.56.26.225
N025.35.45.698 E055.56.26.390
N025.35.45.662 E055.56.26.493
N025.35.45.649 E055.56.26.584
N025.35.45.666 E055.56.26.724
N025.35.45.693 E055.56.26.837
N025.35.45.737 E055.56.26.964
N025.35.45.887 E055.56.27.118
N025.35.47.954 E055.56.28.479

COORDTYPE:TWYCLOSED:REGION:X
N025.35.41.587 E055.56.25.714
N025.35.41.229 E055.56.25.757
N025.35.40.867 E055.56.22.247
N025.35.40.822 E055.56.22.009
N025.35.41.470 E055.56.22.086
N025.35.41.235 E055.56.22.270

COORDTYPE:TWYCLOSED:REGION:X
N025.35.42.455 E055.56.28.392
N025.35.42.301 E055.56.28.549
N025.35.42.222 E055.56.28.747
N025.35.42.217 E055.56.28.855
N025.35.42.250 E055.56.29.024
N025.35.42.289 E055.56.29.187
N025.35.42.324 E055.56.29.259
N025.35.44.612 E055.56.31.033
N025.35.44.834 E055.56.31.137
N025.35.45.030 E055.56.31.151
N025.35.45.247 E055.56.31.092
N025.35.45.414 E055.56.31.027
N025.35.45.508 E055.56.30.980
N025.35.45.547 E055.56.30.925
N025.35.45.568 E055.56.30.851
N025.35.45.555 E055.56.30.797
N025.35.46.971 E055.56.32.067
N025.35.46.805 E055.56.31.953
N025.35.46.455 E055.56.31.832
N025.35.46.155 E055.56.31.865
N025.35.46.001 E055.56.31.906
N025.35.45.898 E055.56.31.966
N025.35.45.859 E055.56.32.023
N025.35.45.861 E055.56.32.085
N025.35.45.874 E055.56.32.137
N025.35.45.896 E055.56.32.201
N025.35.47.481 E055.56.33.582
N025.35.49.984 E055.56.35.759
N025.35.50.098 E055.56.35.856
N025.35.50.304 E055.56.35.969
N025.35.50.480 E055.56.36.011
N025.35.50.709 E055.56.36.183
N025.35.50.722 E055.56.36.194
N025.35.49.531 E055.56.36.552
N025.35.49.345 E055.56.36.329
N025.35.49.069 E055.56.36.096
N025.35.48.922 E055.56.35.971
N025.35.48.866 E055.56.35.886
N025.35.48.825 E055.56.35.787
N025.35.48.798 E055.56.35.659
N025.35.48.769 E055.56.35.319
N025.35.48.664 E055.56.35.176
N025.35.47.318 E055.56.34.031
N025.35.42.312 E055.56.29.772
N025.35.40.891 E055.56.28.627
N025.35.40.106 E055.56.28.521
N025.35.39.545 E055.56.28.383
N025.35.38.787 E055.56.28.196
N025.35.38.903 E055.56.27.897
N025.35.39.059 E055.56.28.044
N025.35.40.406 E055.56.28.235
N025.35.41.097 E055.56.28.230
N025.35.41.110 E055.56.28.229
N025.35.41.227 E055.56.28.201
N025.35.41.310 E055.56.28.164
N025.35.41.368 E055.56.28.099
N025.35.41.419 E055.56.28.018
N025.35.41.457 E055.56.27.925
N025.35.41.458 E055.56.27.910
N025.35.41.360 E055.56.26.869
N025.35.41.305 E055.56.26.699
N025.35.41.205 E055.56.26.572
N025.35.41.763 E055.56.26.548
N025.35.41.712 E055.56.26.737
N025.35.41.792 E055.56.27.735
N025.35.41.810 E055.56.27.826
N025.35.41.860 E055.56.27.971
N025.35.41.966 E055.56.28.094
N025.35.42.098 E055.56.28.142
N025.35.42.308 E055.56.28.126
N025.35.42.422 E055.56.28.082
N025.35.42.491 E055.56.28.383
